stimuli_1,block1_resp.keys,correct_resp1,block1_resp.corr,block1_resp.rt,stimuli_2,block2_resp.keys,correct_resp2,block2_resp.corr,block2_resp.rt,stimuli_4,correct_resp4,block4_resp.keys,block4_resp.corr,block4_resp.rt,stimuli_5_reversed,block5_resp.keys,correct_resp5,block5_resp.corr,block5_resp.rt
L_r.bmp,n,n,1.0,0.6170813000062481,L_b.bmp,None,None,1.0,,L_r.bmp,n,None,0.0,,L_w.bmp,None,None,1,
L_k.bmp,None,None,1.0,,L_r.bmp,None,n,0.0,,L_k.bmp,None,n,0.0,0.233711399952881,L_p.bmp,None,None,1,
L_f.bmp,None,None,1.0,,L_j.bmp,n,None,0.0,0.1519227999961003,L_f.bmp,None,None,1.0,,L_b.bmp,None,None,1,
L_l.bmp,None,None,1.0,,L_b.bmp,None,None,1.0,,L_l.bmp,None,None,1.0,,L_s.bmp,n,n,1,0.6304853999754414
L_s.bmp,n,n,1.0,0.5622973999707028,L_s.bmp,None,n,0.0,,L_t.bmp,n,n,1.0,0.6585606000153348,L_f.bmp,None,None,1,
L_n.bmp,None,None,1.0,,L_n.bmp,None,None,1.0,,L_n.bmp,None,None,1.0,,L_j.bmp,None,None,1,
L_d.bmp,None,None,1.0,,L_j.bmp,None,None,1.0,,L_d.bmp,None,None,1.0,,L_l.bmp,None,None,1,
L_s.bmp,n,n,1.0,0.5698497999692336,L_h.bmp,None,None,1.0,,L_s.bmp,n,n,1.0,0.6658604999538511,L_d.bmp,None,None,1,
L_v.bmp,None,None,1.0,,L_m.bmp,None,None,1.0,,L_v.bmp,None,None,1.0,,L_q.bmp,None,None,1,
L_f.bmp,None,None,1.0,,L_q.bmp,None,None,1.0,,L_f.bmp,None,None,1.0,,L_r.bmp,None,n,0,
L_w.bmp,None,None,1.0,,L_b.bmp,None,None,1.0,,L_w.bmp,None,None,1.0,,L_k.bmp,n,None,0,0.1680220999987796
L_q.bmp,None,None,1.0,,L_g.bmp,None,None,1.0,,L_q.bmp,None,None,1.0,,L_h.bmp,None,None,1,
L_k.bmp,None,None,1.0,,L_r.bmp,n,n,1.0,0.7064013000344858,L_k.bmp,None,None,1.0,,L_w.bmp,None,None,1,
L_b.bmp,None,None,1.0,,L_j.bmp,None,None,1.0,,L_b.bmp,None,None,1.0,,L_r.bmp,None,None,1,
L_f.bmp,None,None,1.0,,L_f.bmp,None,None,1.0,,L_j.bmp,None,None,1.0,,L_f.bmp,None,None,1,
L_j.bmp,None,None,1.0,,L_v.bmp,None,None,1.0,,L_c.bmp,None,None,1.0,,L_b.bmp,None,None,1,
L_s.bmp,n,n,1.0,0.6577569999499246,L_f.bmp,None,None,1.0,,L_s.bmp,n,n,1.0,0.6745458000805229,L_s.bmp,None,n,0,
